age,loyalty_tier,category,supplier_country,sales_channel,payment_method,quantity,unit_price,discount_pct,shipping_cost,return_flag,review_score,reported_order_total,delivery_time_days,order_month,order_weekday,customer_tenure_days,delayed_delivery_flag,discount_value,final_order_value,avg_item_cost,high_value_order,low_review_flag,shipping_ratio
32.0,gold,electronics,pakistan,website,cash on delivery,1.0,74.15,0.0,1.14,0.0,3.0,75.29,0,12,6,0,0,0.0,74.15,74.15,1,0,0.0153742414025623
125.0,bronze,home,china,website,cc,1.0,36.85,0.0,6.65,1.0,2.0,43.5,179,2,4,0,1,0.0,36.85,36.85,1,1,0.180461329715061
44.0,bronze,home,china,mobile app,cash on delivery,1.0,23.17,15.0,10.5,1.0,4.0,30.19,606,5,6,0,1,3.4755000000000003,19.6945,19.6945,0,0,0.5331437711036076
72.0,,electronics,pakistan,call center,cod,2.0,23.42,10.0,0.0,0.0,6.0,42.16,5,5,6,0,0,4.684,42.156000000000006,21.078000000000003,1,0,0.0
52.0,platinum,home,pakistan,website,cash on delivery,2.0,22.4,20.0,4.52,0.0,4.0,42.39,5,5,6,0,0,8.96,35.84,17.919999999999998,1,0,0.1261160714285714
18.0,gold,baby,china,website,cash on delivery,2.0,7.93,0.0,10.42,0.0,3.0,26.28,5,2,6,0,0,0.0,15.86,7.93,0,0,0.6569987389659521
37.0,platinum,electronics,pakistan,call center,cash on delivery,2.0,22.4,0.0,3.06,0.0,5.0,97.3,48,5,6,0,1,0.0,44.8,22.4,1,0,0.0683035714285714
50.0,,electronics,pakistan,mobile-app,bank transfer,2.0,64.34,10.0,0.72,0.0,4.0,116.53,5,5,6,0,0,12.868000000000002,115.812,57.906000000000006,1,0,0.0062169723344731
23.0,bronze,electronics,pakistan,marketplace,debit card,2.0,23.01,5.0,3.78,0.0,2.0,47.5,0,5,6,0,0,2.301,43.719,21.8595,1,1,0.0864612639813353
54.0,bronze,kitchen,china,website,,2.0,12.85,5.0,4.87,0.0,5.0,29.29,5,5,6,0,0,1.285,24.415,12.2075,0,0,0.1994675404464468
35.0,gold,home,australia,call center,credit card,2.0,31.18,5.0,6.61,0.0,4.0,40.52,5,5,6,0,0,3.1180000000000003,59.242,29.621,1,0,0.1115762465818169
60.0,platinum,baby,pakistan,website,cod,4.0,12.28,20.0,8.26,1.0,3.0,47.56,5,2,6,0,0,9.824,39.296,9.824,1,0,0.2101995114006514
28.0,gold,home,china,mkt place,cod,3.0,23.65,0.0,9.59,0.0,4.0,80.54,33,5,6,0,1,0.0,70.94999999999999,23.649999999999995,1,0,0.1351656095842142
20.0,gold,electronics,pakistan,mkt place,cc,1.0,62.26,5.0,2.93,0.0,4.0,62.08,681,5,6,295,1,3.113,59.147,59.147,1,0,0.0495375927773175
